persona,data,existing_digital_twin,digital_twin
35-year-old techie,"{""user_id"": ""U001"", ""session_id"": ""S001"", ""page_views"": [{""url"": ""/home"", ""timestamp"": ""2025-07-10T08:30:07Z""}, {""url"": ""/products/term-life?sort=popular&coverage_min=500000"", ""timestamp"": ""2025-07-10T08:31:23Z""}, {""url"": ""/tools/quick-quote?age=35&smoker=no&sum_assured=500000&term=20"", ""timestamp"": ""2025-07-10T08:32:37Z""}, {""url"": ""/articles/api-integration-security-for-insurance"", ""timestamp"": ""2025-07-10T08:33:47Z""}, {""url"": ""/compare?products=term_basic,term_elite"", ""timestamp"": ""2025-07-10T08:35:08Z""}], ""actions"": [{""action"": ""quote_started"", ""timestamp"": ""2025-07-10T08:32:38Z""}, {""action"": ""save_quote"", ""timestamp"": ""2025-07-10T08:35:32Z""}], ""referrer"": ""/generator"", ""device"": ""test_device"", ""location"": ""Bengaluru, India"", ""metadata"": {""user_agent"": ""Mozilla/5.0"", ""browser"": ""Chrome"", ""os"": ""macOS 14"", ""device_type"": ""desktop"", ""language"": ""en-US"", ""timezone"": ""UTC"", ""dnt"": false, ""ad_blocker"": false, ""cookies_enabled"": true, ""consent"": {""analytics"": true, ""marketing"": true, ""personalization"": true}, ""utm_source"": ""test"", ""utm_medium"": ""cpc"", ""utm_campaign"": ""dataset_v4"", ""referrer_domain"": ""example.com"", ""referrer_path"": ""/ad"", ""ip_country"": ""India"", ""geo_city"": ""Bengaluru"", ""session_start"": ""2025-07-10T08:30:07Z"", ""session_end"": ""2025-07-10T08:35:32Z"", ""session_duration_sec"": 325, ""pages_count"": 5}}","### Existing Digital Twin: Unknown (Lead ID: U001)
**Persona Summary:** 35-year-old techie in Bengaluru. Prior interest in basic term coverage (quote drafted).
","### Digital Twin Profile: Unknown (Lead ID: U001)
**Persona Summary:** 35-year-old techie in Bengaluru. Session shows progress.
**Behavioral Signals:** Visited 5 pages, last `/compare?products=term_basic,term_elite`; actions: ['quote_started', 'save_quote'].
**Stage:** Evaluation (quote in progress/saved). **Next best actions:** Resume link / callback / comparison, based on actions.
"
45-year-old small business owner,"{""user_id"": ""U002"", ""session_id"": ""S002"", ""page_views"": [{""url"": ""/home"", ""timestamp"": ""2025-07-10T08:30:08Z""}, {""url"": ""/products/keyman-insurance"", ""timestamp"": ""2025-07-10T08:31:37Z""}, {""url"": ""/products/term-life?add_on=disability"", ""timestamp"": ""2025-07-10T08:33:50Z""}, {""url"": ""/tools/premium-calculator?employees=8&coverage=2000000"", ""timestamp"": ""2025-07-10T08:35:29Z""}, {""url"": ""/schedule-callback?agent_region=CA"", ""timestamp"": ""2025-07-10T08:36:32Z""}], ""actions"": [{""action"": ""schedule_callback"", ""timestamp"": ""2025-07-10T08:36:41Z""}], ""referrer"": ""/generator"", ""device"": ""test_device"", ""location"": ""San Jose, USA"", ""metadata"": {""user_agent"": ""Mozilla/5.0"", ""browser"": ""Chrome"", ""os"": ""Windows 11"", ""device_type"": ""desktop"", ""language"": ""en-US"", ""timezone"": ""UTC"", ""dnt"": false, ""ad_blocker"": false, ""cookies_enabled"": true, ""consent"": {""analytics"": true, ""marketing"": true, ""personalization"": true}, ""utm_source"": ""test"", ""utm_medium"": ""cpc"", ""utm_campaign"": ""dataset_v4"", ""referrer_domain"": ""example.com"", ""referrer_path"": ""/ad"", ""ip_country"": ""USA"", ""geo_city"": ""San Jose"", ""session_start"": ""2025-07-10T08:30:08Z"", ""session_end"": ""2025-07-10T08:36:41Z"", ""session_duration_sec"": 393, ""pages_count"": 5}}",,"### Digital Twin Profile: Unknown (Lead ID: U002)
**Persona Summary:** 45-year-old small business owner in San Jose. Session shows progress.
**Behavioral Signals:** Visited 5 pages, last `/schedule-callback?agent_region=CA`; actions: ['schedule_callback'].
**Stage:** Consideration → advisor. **Next best actions:** Resume link / callback / comparison, based on actions.
"
29-year-old graduate student,"{""user_id"": ""U003"", ""session_id"": ""S003"", ""page_views"": [{""url"": ""/home?utm_source=campus-fair"", ""timestamp"": ""2025-07-10T08:30:07Z""}, {""url"": ""/articles/why-term-life-in-your-20s"", ""timestamp"": ""2025-07-10T08:31:04Z""}, {""url"": ""/products/term-life?sort=low_premium"", ""timestamp"": ""2025-07-10T08:33:02Z""}, {""url"": ""/tools/student-discount-checker?status=full_time"", ""timestamp"": ""2025-07-10T08:34:21Z""}], ""actions"": [{""action"": ""email_capture"", ""timestamp"": ""2025-07-10T08:34:38Z""}], ""referrer"": ""/generator"", ""device"": ""test_device"", ""location"": ""Boston, USA"", ""metadata"": {""user_agent"": ""Mozilla/5.0"", ""browser"": ""Chrome"", ""os"": ""Windows 11"", ""device_type"": ""desktop"", ""language"": ""en-US"", ""timezone"": ""UTC"", ""dnt"": false, ""ad_blocker"": false, ""cookies_enabled"": true, ""consent"": {""analytics"": true, ""marketing"": true, ""personalization"": true}, ""utm_source"": ""test"", ""utm_medium"": ""cpc"", ""utm_campaign"": ""dataset_v4"", ""referrer_domain"": ""example.com"", ""referrer_path"": ""/ad"", ""ip_country"": ""USA"", ""geo_city"": ""Boston"", ""session_start"": ""2025-07-10T08:30:07Z"", ""session_end"": ""2025-07-10T08:34:38Z"", ""session_duration_sec"": 271, ""pages_count"": 4}}",,"### Digital Twin Profile: Unknown (Lead ID: U003)
**Persona Summary:** 29-year-old graduate student in Boston. Session shows progress.
**Behavioral Signals:** Visited 4 pages, last `/tools/student-discount-checker?status=full_time`; actions: ['email_capture'].
**Stage:** Interest / research. **Next best actions:** Resume link / callback / comparison, based on actions.
"
52-year-old expat executive,"{""user_id"": ""U004"", ""session_id"": ""S004"", ""page_views"": [{""url"": ""/home?lang=en&country=jp"", ""timestamp"": ""2025-07-10T08:30:10Z""}, {""url"": ""/products/critical-illness?currency=JPY"", ""timestamp"": ""2025-07-10T08:32:30Z""}, {""url"": ""/riders/income-protector?currency=JPY"", ""timestamp"": ""2025-07-10T08:34:39Z""}, {""url"": ""/resources/brochure?product=ci_plus&lang=en"", ""timestamp"": ""2025-07-10T08:36:06Z""}, {""url"": ""/chat?topic=portability&lang=en"", ""timestamp"": ""2025-07-10T08:37:37Z""}], ""actions"": [{""action"": ""start_chat"", ""timestamp"": ""2025-07-10T08:37:37Z""}, {""action"": ""download_brochure"", ""timestamp"": ""2025-07-10T08:36:05Z""}], ""referrer"": ""/generator"", ""device"": ""test_device"", ""location"": ""Tokyo, Japan"", ""metadata"": {""user_agent"": ""Mozilla/5.0"", ""browser"": ""Chrome"", ""os"": ""macOS 14"", ""device_type"": ""desktop"", ""language"": ""en-US"", ""timezone"": ""UTC"", ""dnt"": false, ""ad_blocker"": false, ""cookies_enabled"": true, ""consent"": {""analytics"": true, ""marketing"": true, ""personalization"": true}, ""utm_source"": ""test"", ""utm_medium"": ""cpc"", ""utm_campaign"": ""dataset_v4"", ""referrer_domain"": ""example.com"", ""referrer_path"": ""/ad"", ""ip_country"": ""Japan"", ""geo_city"": ""Tokyo"", ""session_start"": ""2025-07-10T08:30:10Z"", ""session_end"": ""2025-07-10T08:37:37Z"", ""session_duration_sec"": 447, ""pages_count"": 5}}","### Existing Digital Twin: Unknown (Lead ID: U004)
**Persona Summary:** 52-year-old expat executive in Tokyo. Prior interest in international coverage Q&A.
","### Digital Twin Profile: Unknown (Lead ID: U004)
**Persona Summary:** 52-year-old expat executive in Tokyo. Session shows progress.
**Behavioral Signals:** Visited 5 pages, last `/chat?topic=portability&lang=en`; actions: ['start_chat', 'download_brochure'].
**Stage:** Interest / research. **Next best actions:** Resume link / callback / comparison, based on actions.
"
33-year-old new parent,"{""user_id"": ""U005"", ""session_id"": ""S005"", ""page_views"": [{""url"": ""/home"", ""timestamp"": ""2025-07-10T08:30:08Z""}, {""url"": ""/life-events/new-baby-checklist"", ""timestamp"": ""2025-07-10T08:31:16Z""}, {""url"": ""/products/term-life?beneficiaries=spouse,child"", ""timestamp"": ""2025-07-10T08:32:20Z""}, {""url"": ""/tools/coverage-planner?dependents=1&education_goal=yes"", ""timestamp"": ""2025-07-10T08:33:30Z""}], ""actions"": [{""action"": ""quote_started"", ""timestamp"": ""2025-07-10T08:33:38Z""}], ""referrer"": ""/generator"", ""device"": ""test_device"", ""location"": ""Sydney, Australia"", ""metadata"": {""user_agent"": ""Mozilla/5.0"", ""browser"": ""Chrome"", ""os"": ""macOS 14"", ""device_type"": ""desktop"", ""language"": ""en-US"", ""timezone"": ""UTC"", ""dnt"": false, ""ad_blocker"": false, ""cookies_enabled"": true, ""consent"": {""analytics"": true, ""marketing"": true, ""personalization"": true}, ""utm_source"": ""test"", ""utm_medium"": ""cpc"", ""utm_campaign"": ""dataset_v4"", ""referrer_domain"": ""example.com"", ""referrer_path"": ""/ad"", ""ip_country"": ""Australia"", ""geo_city"": ""Sydney"", ""session_start"": ""2025-07-10T08:30:08Z"", ""session_end"": ""2025-07-10T08:33:38Z"", ""session_duration_sec"": 210, ""pages_count"": 4}}",,"### Digital Twin Profile: Unknown (Lead ID: U005)
**Persona Summary:** 33-year-old new parent in Sydney. Session shows progress.
**Behavioral Signals:** Visited 4 pages, last `/tools/coverage-planner?dependents=1&education_goal=yes`; actions: ['quote_started'].
**Stage:** Evaluation (quote in progress/saved). **Next best actions:** Resume link / callback / comparison, based on actions.
"
47-year-old homeowner,"{""user_id"": ""U006"", ""session_id"": ""S006"", ""page_views"": [{""url"": ""/home"", ""timestamp"": ""2025-07-10T08:30:03Z""}, {""url"": ""/products/mortgage-protection"", ""timestamp"": ""2025-07-10T08:31:39Z""}, {""url"": ""/tools/premium-calculator?coverage=remaining_mortgage&term=15"", ""timestamp"": ""2025-07-10T08:33:20Z""}, {""url"": ""/articles/how-mortgage-protection-works"", ""timestamp"": ""2025-07-10T08:35:07Z""}], ""actions"": [{""action"": ""save_quote"", ""timestamp"": ""2025-07-10T08:35:25Z""}], ""referrer"": ""/generator"", ""device"": ""test_device"", ""location"": ""Manchester, UK"", ""metadata"": {""user_agent"": ""Mozilla/5.0"", ""browser"": ""Chrome"", ""os"": ""Windows 11"", ""device_type"": ""desktop"", ""language"": ""en-US"", ""timezone"": ""UTC"", ""dnt"": false, ""ad_blocker"": false, ""cookies_enabled"": true, ""consent"": {""analytics"": true, ""marketing"": true, ""personalization"": true}, ""utm_source"": ""test"", ""utm_medium"": ""cpc"", ""utm_campaign"": ""dataset_v4"", ""referrer_domain"": ""example.com"", ""referrer_path"": ""/ad"", ""ip_country"": ""UK"", ""geo_city"": ""Manchester"", ""session_start"": ""2025-07-10T08:30:03Z"", ""session_end"": ""2025-07-10T08:35:25Z"", ""session_duration_sec"": 322, ""pages_count"": 4}}","### Existing Digital Twin: Unknown (Lead ID: U006)
**Persona Summary:** 47-year-old homeowner in Manchester. Prior interest in basic term coverage (quote drafted).
","### Digital Twin Profile: Unknown (Lead ID: U006)
**Persona Summary:** 47-year-old homeowner in Manchester. Session shows progress.
**Behavioral Signals:** Visited 4 pages, last `/articles/how-mortgage-protection-works`; actions: ['save_quote'].
**Stage:** Evaluation (quote in progress/saved). **Next best actions:** Resume link / callback / comparison, based on actions.
"
31-year-old fitness enthusiast,"{""user_id"": ""U007"", ""session_id"": ""S007"", ""page_views"": [{""url"": ""/home"", ""timestamp"": ""2025-07-10T08:30:07Z""}, {""url"": ""/riders/healthy-lifestyle-discount"", ""timestamp"": ""2025-07-10T08:31:09Z""}, {""url"": ""/tools/wearable-integration?brand=fitband"", ""timestamp"": ""2025-07-10T08:32:23Z""}, {""url"": ""/products/term-life?add_on=wellness_points"", ""timestamp"": ""2025-07-10T08:33:38Z""}], ""actions"": [{""action"": ""email_capture"", ""timestamp"": ""2025-07-10T08:33:43Z""}], ""referrer"": ""/generator"", ""device"": ""test_device"", ""location"": ""Vancouver, Canada"", ""metadata"": {""user_agent"": ""Mozilla/5.0"", ""browser"": ""Chrome"", ""os"": ""macOS 14"", ""device_type"": ""desktop"", ""language"": ""en-US"", ""timezone"": ""UTC"", ""dnt"": false, ""ad_blocker"": false, ""cookies_enabled"": true, ""consent"": {""analytics"": true, ""marketing"": true, ""personalization"": true}, ""utm_source"": ""test"", ""utm_medium"": ""cpc"", ""utm_campaign"": ""dataset_v4"", ""referrer_domain"": ""example.com"", ""referrer_path"": ""/ad"", ""ip_country"": ""Canada"", ""geo_city"": ""Vancouver"", ""session_start"": ""2025-07-10T08:30:07Z"", ""session_end"": ""2025-07-10T08:33:43Z"", ""session_duration_sec"": 216, ""pages_count"": 4}}",,"### Digital Twin Profile: Unknown (Lead ID: U007)
**Persona Summary:** 31-year-old fitness enthusiast in Vancouver. Session shows progress.
**Behavioral Signals:** Visited 4 pages, last `/products/term-life?add_on=wellness_points`; actions: ['email_capture'].
**Stage:** Interest / research. **Next best actions:** Resume link / callback / comparison, based on actions.
"
58-year-old pre-retiree,"{""user_id"": ""U008"", ""session_id"": ""S008"", ""page_views"": [{""url"": ""/home"", ""timestamp"": ""2025-07-10T08:30:10Z""}, {""url"": ""/products/annuity/income-plus"", ""timestamp"": ""2025-07-10T08:31:14Z""}, {""url"": ""/tools/retirement-income-planner?age=58&start_age=60"", ""timestamp"": ""2025-07-10T08:33:07Z""}, {""url"": ""/faq/payout-options"", ""timestamp"": ""2025-07-10T08:34:20Z""}], ""actions"": [{""action"": ""schedule_callback"", ""timestamp"": ""2025-07-10T08:34:31Z""}], ""referrer"": ""/generator"", ""device"": ""test_device"", ""location"": ""Dallas, USA"", ""metadata"": {""user_agent"": ""Mozilla/5.0"", ""browser"": ""Chrome"", ""os"": ""Windows 11"", ""device_type"": ""desktop"", ""language"": ""en-US"", ""timezone"": ""UTC"", ""dnt"": false, ""ad_blocker"": false, ""cookies_enabled"": true, ""consent"": {""analytics"": true, ""marketing"": true, ""personalization"": true}, ""utm_source"": ""test"", ""utm_medium"": ""cpc"", ""utm_campaign"": ""dataset_v4"", ""referrer_domain"": ""example.com"", ""referrer_path"": ""/ad"", ""ip_country"": ""USA"", ""geo_city"": ""Dallas"", ""session_start"": ""2025-07-10T08:30:10Z"", ""session_end"": ""2025-07-10T08:34:31Z"", ""session_duration_sec"": 261, ""pages_count"": 4}}",,"### Digital Twin Profile: Unknown (Lead ID: U008)
**Persona Summary:** 58-year-old pre-retiree in Dallas. Session shows progress.
**Behavioral Signals:** Visited 4 pages, last `/faq/payout-options`; actions: ['schedule_callback'].
**Stage:** Consideration → advisor. **Next best actions:** Resume link / callback / comparison, based on actions.
"
26-year-old first-jobber,"{""user_id"": ""U009"", ""session_id"": ""S009"", ""page_views"": [{""url"": ""/home?utm=onboarding"", ""timestamp"": ""2025-07-10T08:30:07Z""}, {""url"": ""/articles/insurance-basics"", ""timestamp"": ""2025-07-10T08:31:30Z""}, {""url"": ""/products/term-life?sort=starter"", ""timestamp"": ""2025-07-10T08:33:04Z""}, {""url"": ""/tools/quick-quote?age=26&smoker=no&sum_assured=100000&term=10"", ""timestamp"": ""2025-07-10T08:34:26Z""}], ""actions"": [{""action"": ""quote_started"", ""timestamp"": ""2025-07-10T08:34:33Z""}], ""referrer"": ""/generator"", ""device"": ""test_device"", ""location"": ""Singapore"", ""metadata"": {""user_agent"": ""Mozilla/5.0"", ""browser"": ""Chrome"", ""os"": ""macOS 14"", ""device_type"": ""desktop"", ""language"": ""en-US"", ""timezone"": ""UTC"", ""dnt"": false, ""ad_blocker"": false, ""cookies_enabled"": true, ""consent"": {""analytics"": true, ""marketing"": true, ""personalization"": true}, ""utm_source"": ""test"", ""utm_medium"": ""cpc"", ""utm_campaign"": ""dataset_v4"", ""referrer_domain"": ""example.com"", ""referrer_path"": ""/ad"", ""ip_country"": null, ""geo_city"": ""Singapore"", ""session_start"": ""2025-07-10T08:30:07Z"", ""session_end"": ""2025-07-10T08:34:33Z"", ""session_duration_sec"": 266, ""pages_count"": 4}}",,"### Digital Twin Profile: Unknown (Lead ID: U009)
**Persona Summary:** 26-year-old first-jobber in Singapore. Session shows progress.
**Behavioral Signals:** Visited 4 pages, last `/tools/quick-quote?age=26&smoker=no&sum_assured=100000&term=10`; actions: ['quote_started'].
**Stage:** Evaluation (quote in progress/saved). **Next best actions:** Resume link / callback / comparison, based on actions.
"
40-year-old frequent traveler,"{""user_id"": ""U010"", ""session_id"": ""S010"", ""page_views"": [{""url"": ""/home"", ""timestamp"": ""2025-07-10T08:30:01Z""}, {""url"": ""/products/term-life?add_on=accidental_death"", ""timestamp"": ""2025-07-10T08:32:14Z""}, {""url"": ""/riders/travel-coverage?region=global"", ""timestamp"": ""2025-07-10T08:34:05Z""}, {""url"": ""/tools/beneficiary-planner?beneficiaries=2"", ""timestamp"": ""2025-07-10T08:35:23Z""}], ""actions"": [{""action"": ""start_chat"", ""timestamp"": ""2025-07-10T08:35:38Z""}], ""referrer"": ""/generator"", ""device"": ""test_device"", ""location"": ""Dubai, UAE"", ""metadata"": {""user_agent"": ""Mozilla/5.0"", ""browser"": ""Chrome"", ""os"": ""macOS 14"", ""device_type"": ""desktop"", ""language"": ""en-US"", ""timezone"": ""UTC"", ""dnt"": false, ""ad_blocker"": false, ""cookies_enabled"": true, ""consent"": {""analytics"": true, ""marketing"": true, ""personalization"": true}, ""utm_source"": ""test"", ""utm_medium"": ""cpc"", ""utm_campaign"": ""dataset_v4"", ""referrer_domain"": ""example.com"", ""referrer_path"": ""/ad"", ""ip_country"": ""UAE"", ""geo_city"": ""Dubai"", ""session_start"": ""2025-07-10T08:30:01Z"", ""session_end"": ""2025-07-10T08:35:38Z"", ""session_duration_sec"": 337, ""pages_count"": 4}}",,"### Digital Twin Profile: Unknown (Lead ID: U010)
**Persona Summary:** 40-year-old frequent traveler in Dubai. Session shows progress.
**Behavioral Signals:** Visited 4 pages, last `/tools/beneficiary-planner?beneficiaries=2`; actions: ['start_chat'].
**Stage:** Interest / research. **Next best actions:** Resume link / callback / comparison, based on actions.
"
